Complaint_Summary,Category,Is_Augmented
aksidente sidecar customer,Accident & Traffic,False
nasabitan tricycle napilayan,Accident & Traffic,False
nasagi motor hindi kayang bayaran buong gastos,Accident & Traffic,False
aksidente tricycle,Accident & Traffic,False
nasagi bisikleta kalsada,Accident & Traffic,True
aksidente sidecar,Accident & Traffic,True
napilayan matapos aksidente tricycle,Accident & Traffic,True
nabanggaan sidecar customer,Accident & Traffic,True
tricycle napilayan,Accident & Traffic,True
nasabitan gastos,Accident & Traffic,True
nasagi motor kayang bayaran buong gastos,Accident & Traffic,True
aksidente traysikel customer,Accident & Traffic,True
motor hindi kayang buong gastos,Accident & Traffic,True
naaksidente eskwelahan nasugatan,Accident & Traffic,True
nabanggaan motor nasugatan,Accident & Traffic,True
aksidente truck tricycle,Accident & Traffic,True
sidecar customer,Accident & Traffic,True
nasabitan jeep nagkagaralgal,Accident & Traffic,True
nasabitan tricycle nasaktan,Accident & Traffic,True
nasabitan tricycle,Accident & Traffic,True
aksidente traysikel,Accident & Traffic,True
gasgas kotse dahil banggaan,Accident & Traffic,True
aksidente napilayan sidecar customer,Accident & Traffic,True
nasaktan bike hindi kayang bayaran buong gastos,Accident & Traffic,True
nasagi motor hindi tricycle,Accident & Traffic,True
nasabitan traysikel napilayan,Accident & Traffic,True
nasagi motorsiklo hindi kayang bayaran buong gastos,Accident & Traffic,True
aksidente dyip,Accident & Traffic,True
nasagi motor hindi customer,Accident & Traffic,True
nasagi motor hindi sidecar customer,Accident & Traffic,True
aksidente bayaran buong gastos,Accident & Traffic,True
banggaan sidecar customer,Accident & Traffic,True
nasagi sasakyan,Accident & Traffic,True
napilayan matapos aksidente motor,Accident & Traffic,True
nasagi motor hindi kayang bayaran gastos,Accident & Traffic,True
nabanggaan jeep nasugatan,Accident & Traffic,True
nasagi hindi kayang bayaran buong gastos,Accident & Traffic,True
nabangga motor hindi kayang bayaran buong gastos,Accident & Traffic,True
gasgas bisikleta dahil banggaan,Accident & Traffic,True
nasagi truck kalsada,Accident & Traffic,True
naaksidente motor hindi kayang bayaran buong gastos,Accident & Traffic,True
nasabitan traysikel nasugatan,Accident & Traffic,True
nasagi tricycle,Accident & Traffic,True
aksidente tricycle napilayan,Accident & Traffic,True
nasagi motor tricycle,Accident & Traffic,True
aksidente motor na may sidecar customer,Accident & Traffic,True
